,majorityvote,majorityvotemax,boundth6,boundth7,div_boundth7,r_boundth7,tv_boundth7
fashion_co_sh_0.01_uniformnoiseiterativefgsm_uniformnoisepgd_1_l2_100,0.3474699854850769,0.3709999918937683,0.7758827209472656,0.8196526169776917,0.6787756681442261,0.3616143167018889,-1.0
fashion_co_sh_0.01_nothing_uniformnoiseiterativefgsm_1_l2_100,0.4544000029563904,0.6175000071525574,0.9469856023788452,1.2759708166122437,0.02327536791563034,0.5911527872085571,-1.0
fashion_co_sh_0.01_uniformnoise_uniformnoisepgd_1_l2_100,0.6818000078201294,0.7524999976158142,1.350266933441162,1.5236835479736328,0.0007808587397448719,0.7150571942329407,-1.0
fashion_co_sh_0.01_uniformnoiseiterativefgsm_uniformnoiseiterativefgsm_1_l2_100,0.2909649908542633,0.3310000002384186,0.6833046674728394,0.7337200045585632,0.6787756681442261,0.31864801049232483,-1.0
fashion_co_sh_0.01_uniformnoisepgd_uniformnoiseiterativefgsm_1_l2_100,0.2981800138950348,0.3199999928474426,0.6922486424446106,0.753505527973175,0.3915109932422638,0.3291403353214264,-1.0
fashion_sa_bo_0.01_nothing_uniformnoisepgd_1_l2_100,0.4938350021839142,0.5879999995231628,1.040286660194397,1.1515792608261108,0.03953395783901215,0.5289222598075867,-1.0
fashion_sa_bo_0.01_uniformnoise_uniformnoise_1_l2_100,0.02040999941527844,0.030500000342726707,0.05645434558391571,0.1454533338546753,0.0027875769883394237,0.025937791913747787,-1.0
fashion_sa_bo_0.01_uniformnoisepgd_uniformnoiseiterativefgsm_1_l2_100,0.07336000353097916,0.0820000022649765,0.1949150264263153,0.25320523977279663,0.03349020332098007,0.07974816113710402,-1.0
fashion_sa_bo_0.01_nothing_uniformnoiseiterativefgsm_1_l2_100,0.2691099941730499,0.2949999868869781,0.5830453634262085,0.7301892638206482,0.03953395783901215,0.3182272911071777,-1.0
fashion_sa_bo_0.01_uniformnoise_uniformnoisepgd_1_l2_100,0.4181050062179565,0.5134999752044678,0.9568439722061156,1.1508089303970337,0.0027875769883394237,0.5286155939102173,-1.0
fashion_sa_bo_0.01_uniformnoisepgd_uniformnoisepgd_1_l2_100,0.08614999800920486,0.09600000083446504,0.2274124622344971,0.2829930782318115,0.03349020332098007,0.09464208036661148,-1.0
fashion_sa_bo_0.01_uniformnoiseiterativefgsm_uniformnoisepgd_1_l2_100,0.08532000333070755,0.09600000083446504,0.2541894614696503,0.3127104938030243,0.03617431968450546,0.10949506610631944,-1.0
fashion_sa_bo_0.01_uniformnoiseiterativefgsm_uniformnoise_1_l2_100,0.027194999158382416,0.032000001519918435,0.09174822270870207,0.16220885515213013,0.03617431968450546,0.034244246780872345,-1.0
fashion_sa_bo_0.01_uniformnoise_uniformnoiseiterativefgsm_1_l2_100,0.10497000068426132,0.14350000023841858,0.27260279655456543,0.3974563479423523,0.0027875769883394237,0.1519393026828766,-1.0
fashion_sa_bo_0.01_uniformnoisepgd_uniformnoise_1_l2_100,0.034515000879764564,0.038499999791383736,0.0957106202840805,0.16475623846054074,0.03349020332098007,0.0355236642062664,-1.0
fashion_sa_bo_0.01_uniformnoiseiterativefgsm_uniformnoiseiterativefgsm_1_l2_100,0.06741999834775925,0.08049999922513963,0.20538745820522308,0.26554277539253235,0.03617431968450546,0.08591120690107346,-1.0
fashion_sa_bo_0.01_nothing_uniformnoise_1_l2_100,0.01951500028371811,0.02449999935925007,0.05894757807254791,0.14426755905151367,0.03953395783901215,0.025266427546739568,-1.0
fashion_to_pu_0.01_uniformnoisepgd_uniformnoiseiterativefgsm_1_l2_100,0.07050000131130219,0.07649999856948853,0.18085578083992004,0.24783360958099365,1.1205767393112185,0.07479698210954666,-1.0
fashion_to_pu_0.01_uniformnoise_uniformnoisepgd_1_l2_100,0.09872999787330627,0.2504999935626984,0.34485599398612976,0.4902735948562622,0.031710445880889886,0.19828614592552185,-1.0
fashion_to_pu_0.01_uniformnoiseiterativefgsm_uniformnoiseiterativefgsm_1_l2_100,0.0650549978017807,0.06750000268220901,0.1699295938014984,0.2340879142284393,0.3891794979572296,0.06943642348051071,-1.0
fashion_to_pu_0.01_nothing_uniformnoise_1_l2_100,0.036649998277425766,0.04100000113248825,0.08740802109241486,0.16219782829284668,0.03883382678031922,0.034233059734106064,-1.0
